similaridade,clean_flag,modelo,arquivo_temas,arquivo_appeals,recall@6,map@6,ndcg@6,f1_score
COS,clean,neuralmind_bert_base_portuguese_cased_treinado,embedding_neuralmind_bert_base_portuguese_cased_treinado__themes.csv,embedding_neuralmind_bert_base_portuguese_cased_treinado__special_appeal.csv,0.8572863060123007,0.6451947617254508,0.698521115333994,0.73627101973526
COS,clean,paraphrase_multilingual_MiniLM_L12_v2,embedding_paraphrase_multilingual_MiniLM_L12_v2__themes.csv,embedding_paraphrase_multilingual_MiniLM_L12_v2__special_appeal.csv,0.10706664993096524,0.052826241579850226,0.06618439653127384,0.07074646860102404
COS,clean,paraphrase_multilingual_mpnet_base_v2,embedding_paraphrase_multilingual_mpnet_base_v2__themes.csv,embedding_paraphrase_multilingual_mpnet_base_v2__special_appeal.csv,0.062131291577758256,0.031209991213756748,0.03872395213705515,0.041548969678772515
COS,clean,pierreguillou_bert_base_cased_pt_lenerbr_treinado,embedding_pierreguillou_bert_base_cased_pt_lenerbr_treinado__themes.csv,embedding_pierreguillou_bert_base_cased_pt_lenerbr_treinado__special_appeal.csv,0.8639387473327476,0.6527216434458809,0.7053423633272322,0.7436226625607382
COS,clean,rufimelo_Legal_BERTimbau_base_treinado,embedding_rufimelo_Legal_BERTimbau_base_treinado__themes.csv,embedding_rufimelo_Legal_BERTimbau_base_treinado__special_appeal.csv,0.8675787623948789,0.6561378185013179,0.7093607077047972,0.7471878217680553
COS,clean,rufimelo_Legal_BERTimbau_large,embedding_rufimelo_Legal_BERTimbau_large__themes.csv,embedding_rufimelo_Legal_BERTimbau_large__special_appeal.csv,0.0928831429647295,0.0248525166311033,0.040841978403645916,0.03921292602775361
COS,notClean,neuralmind_bert_base_portuguese_cased_treinado,embedding_neuralmind_bert_base_portuguese_cased_treinado__themes.csv,embedding_neuralmind_bert_base_portuguese_cased_treinado__special_appeal.csv,0.8668256558303,0.6682377306388855,0.7176179667188386,0.7546862419068333
COS,notClean,paraphrase_multilingual_MiniLM_L12_v2,embedding_paraphrase_multilingual_MiniLM_L12_v2__themes.csv,embedding_paraphrase_multilingual_MiniLM_L12_v2__special_appeal.csv,0.17484624074306515,0.0968034810258985,0.1155348265780902,0.12461433524026364
COS,notClean,paraphrase_multilingual_mpnet_base_v2,embedding_paraphrase_multilingual_mpnet_base_v2__themes.csv,embedding_paraphrase_multilingual_mpnet_base_v2__special_appeal.csv,0.17384209865695996,0.09910673193590225,0.11753649862268871,0.12624287294690134
COS,notClean,pierreguillou_bert_base_cased_pt_lenerbr_treinado,embedding_pierreguillou_bert_base_cased_pt_lenerbr_treinado__themes.csv,embedding_pierreguillou_bert_base_cased_pt_lenerbr_treinado__special_appeal.csv,0.8613028743567215,0.646372536713945,0.7001427692550438,0.7385177468426221
COS,notClean,rufimelo_Legal_BERTimbau_base_treinado,embedding_rufimelo_Legal_BERTimbau_base_treinado__themes.csv,embedding_rufimelo_Legal_BERTimbau_base_treinado__special_appeal.csv,0.8732270616292205,0.6780218400903727,0.7267640962243871,0.7633423862363211
COS,notClean,rufimelo_Legal_BERTimbau_large,embedding_rufimelo_Legal_BERTimbau_large__themes.csv,embedding_rufimelo_Legal_BERTimbau_large__special_appeal.csv,0.04167189657336513,0.024521986527760345,0.0285835095663121,0.03087529053997763
